,Zone 1 Yearly Mean
0,2.045456294382638
1,3.143875588656722
2,3.8988136206289865
3,2.355883783751634
4,2.2617192372440496
5,3.8018282742247336
6,3.702617656409274
7,5.535817471735538
8,4.7703166604216065
9,3.9891112331241376
10,1.5850120637060754
11,4.142756789448953
12,3.686768857625076
13,4.287126715108472
14,1.4972866131621474
15,4.5440651600781345
16,6.4196342435562155
17,1.341773035514699
18,3.8013445517552
19,3.0560531187663873
20,3.7908831685696804
21,3.509382762105938
22,3.086816572980969
23,3.8920068701393022
24,2.731351693431115
25,5.236632844099901
26,4.411199412599717
27,3.1484770880328306
28,3.145064970934776
29,3.3748902796534774
30,3.917089654489878
31,3.3988060447208657
32,5.224851206727663
33,4.072282003876635
34,3.6201423969692086
35,3.002969526846384
36,4.013715246617895
37,2.6412451307228166
38,1.8936349711601514
39,3.1212158504097736
40,3.1361132400469454
41,4.515764613736911
42,3.8176973976674358
43,5.401687276882924
44,4.974376444317073
45,3.9094521582009407
46,3.7011885626516374
47,2.643236624127632
48,3.361542996025392
49,4.39460595148405
50,2.106274885170461
51,3.663094799268578
52,4.333469386990641
53,4.084644422102358
54,4.078477782418643
55,4.835672466839473
56,3.2110809301608807
57,4.228783652556416
58,5.088577160004578
59,3.19278069656866
60,4.895550276444807
61,4.5884255429321
62,3.0937569415655073
63,4.241614370285887
64,2.663479052687181
65,3.1108674681912487
66,4.127915686308232
67,2.5214721892432137
68,2.8014074549808585
69,4.940203038030607
70,3.85522032356832
71,2.3557191590460977
72,4.838388108392344
73,2.0408316809507094
74,5.4716756481932505
75,5.329934703685451
76,5.084944660044652
77,4.257057403034931
78,3.4614612470675716
79,3.596847584962336
80,3.609074200994758
81,2.6589250906845745
82,4.900887315386607
83,3.553376758659276
84,2.636733983570149
85,2.6524993497054266
86,1.4183250474607871
87,4.851700421129569
88,3.3212399707793896
89,4.465358179509232
90,2.5366804673543726
91,4.271331464202391
92,3.444703491109035
93,5.567818572356904
94,3.993151030620421
95,3.9811045104635476
96,4.029183077743071
97,3.4525831064701507
98,2.1851869422155152
99,2.646730376534711
100,3.4916496540388624
101,1.8920030682330047
102,4.591369493873611
103,3.1791344757566327
104,4.217479804562342
105,4.974098967292067
106,4.514967960739472
107,4.214387310811768
108,3.168759745165529
109,5.474623011334799
110,5.734976428761525
111,4.021714432358372
112,4.960167011773918
113,3.42499123053191
114,3.7610191370692108
115,3.7538601543569126
116,4.103454409957685
117,3.1044415642147154
118,4.985273544938217
119,4.954602175668294
120,4.229133083850756
121,5.224915768589555
