,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,region13,region14,region15
98,7,7,6,3,2,2,7,5,3,7,6,6,7,7,4
99,6,5,6,4,2,2,7,4,4,6,6,6,4,6,6
100,6,7,7,5,4,4,5,4,4,7,7,7,5,6,6
101,6,6,6,6,6,6,6,6,4,7,7,6,6,6,6
102,6,7,7,4,5,6,5,4,5,7,7,7,6,7,5
103,5,6,6,5,5,6,6,6,5,6,6,6,4,6,6
104,6,7,7,5,6,6,6,5,6,5,7,7,5,7,7
105,6,7,6,4,4,4,6,4,4,6,7,6,5,7,6
106,6,4,7,4,4,6,6,5,4,6,7,7,6,6,6
107,7,6,4,4,2,2,7,6,4,2,4,4,5,7,6
108,7,7,7,4,4,4,6,6,4,6,7,7,6,6,4
109,7,7,7,6,6,6,4,6,4,7,7,7,6,7,7
