,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
19,4,4,4,4,4,4,4,5,4,2,4,5,6
25,6,5,5,6,6,5,2,2,6,2,4,5,8
35,2,4,4,4,4,4,4,2,5,2,3,4,7
43,7,1,5,6,5,4,6,5,5,2,4,6,8
46,4,2,6,4,4,5,2,4,5,1,4,6,4
58,6,5,4,4,5,4,2,5,5,4,4,4,0
60,6,4,4,4,4,4,5,4,4,4,4,4,0
61,4,4,4,2,3,4,4,6,6,3,4,5,1
62,6,2,4,4,4,4,3,6,6,1,4,4,3
66,4,4,4,2,3,4,4,5,4,2,4,4,3
70,5,2,4,2,2,2,2,5,3,2,4,4,7
71,4,2,4,5,6,6,2,6,4,4,4,4,5
73,6,5,3,2,2,2,2,4,4,2,3,4,6
76,4,6,5,4,5,4,4,3,4,2,5,4,8
