,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
3,1,1,1,2,2,2,2,4,2,1,1,1,5
7,1,1,1,2,2,3,2,2,2,3,1,1,8
8,2,2,1,2,2,2,2,2,2,3,1,1,8
9,4,1,1,1,1,1,2,4,2,2,1,1,4
10,1,1,1,2,2,2,2,2,2,2,1,1,2
12,4,2,2,3,4,2,2,3,3,2,2,1,3
16,4,1,1,2,2,1,2,4,4,1,1,1,0
17,1,1,1,3,2,2,2,6,4,1,1,1,5
28,3,4,2,3,3,3,2,2,4,1,2,2,3
