,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
87,7,7,6,3,4,4,5,4,4,7,7,6,0
89,5,6,6,5,5,6,4,6,5,6,7,7,3
90,6,7,7,5,6,6,4,6,5,5,7,7,4
93,6,3,6,4,6,6,5,5,5,6,6,6,0
94,7,6,6,4,6,6,7,5,4,5,6,6,3
100,6,7,7,5,4,4,5,4,4,7,7,7,1
101,6,6,6,6,6,6,6,6,4,7,7,6,5
102,6,7,7,4,5,6,5,4,5,7,7,7,8
103,5,6,6,5,5,6,6,6,5,6,6,6,6
104,6,7,7,5,6,6,6,5,6,5,7,7,3
105,6,7,6,4,4,4,6,4,4,6,7,6,8
106,6,4,7,4,4,6,6,5,4,6,7,7,4
108,7,7,7,4,4,4,6,6,4,6,7,7,6
109,7,7,7,6,6,6,4,6,4,7,7,7,8
111,4,7,6,5,4,4,7,5,4,7,6,5,4
112,6,7,7,4,4,4,6,4,5,7,7,7,0
113,6,7,7,5,5,6,6,5,6,7,7,7,6
114,7,7,7,6,6,7,7,6,7,6,7,7,1
115,6,7,7,6,7,7,7,5,6,7,7,7,3
116,7,7,7,6,6,6,7,6,5,4,7,7,6
117,6,7,7,4,4,6,7,7,6,7,7,7,3
118,7,7,7,6,6,6,7,6,6,6,7,7,0
119,7,7,7,6,6,6,7,6,6,7,7,7,4
120,6,7,6,3,3,4,7,6,6,6,7,6,3
