,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
14,3,5,4,6,6,7,4,3,3,7,4,3,2
18,1,4,4,4,4,3,2,4,3,5,4,4,3
30,3,7,4,6,6,4,6,3,4,6,5,4,3
39,4,2,4,6,6,6,5,2,5,4,4,3,3
41,3,3,6,4,5,6,4,3,5,6,6,5,3
45,2,3,6,4,3,4,4,2,4,7,5,6,3
51,4,4,5,4,5,4,6,4,4,6,4,5,1
52,3,4,5,6,6,5,6,3,4,6,4,5,7
53,2,4,4,2,3,4,5,4,4,5,3,4,3
56,3,4,4,6,6,5,2,4,6,4,4,4,3
57,2,7,4,6,6,6,4,3,5,5,4,3,3
59,3,6,4,4,4,4,4,4,4,6,4,4,3
65,4,6,4,4,6,6,2,4,4,7,4,4,6
77,2,4,6,3,4,4,2,3,4,6,5,6,3
80,4,5,6,4,4,4,4,3,4,7,6,6,4
